"group_A","EOs_A","n_locs_A","group_B","EOs_B","n_locs_B","min_dist_m","connected"
11,"EO27",2,30,"EO61",1,53434.1,FALSE
12,"EO30",1,22,"EO08",1,53570.8,FALSE
3,"EO52",1,29,"EO27",1,53726.7,FALSE
12,"EO30",1,21,"EO08",1,53953.3,FALSE
3,"EO52",1,11,"EO27",2,53971.9,FALSE
2,"EO76",1,29,"EO27",1,54896.1,FALSE
2,"EO76",1,11,"EO27",2,54929.4,FALSE
12,"EO30",1,28,"EO26",1,55290.2,FALSE
12,"EO30",1,26,"EO26",2,55564.8,FALSE
12,"EO30",1,25,"EO26",2,56574.5,FALSE
19,"EO24",1,20,"EO70",1,56588.3,FALSE
6,"EO32",1,20,"EO70",1,57120.7,FALSE
17,"EO24",1,20,"EO70",1,57488.7,FALSE
18,"EO24",1,20,"EO70",1,57491.2,FALSE
5,"EO68",1,19,"EO24",1,57705.9,FALSE
12,"EO30",1,24,"EO26",1,57783.4,FALSE
9,"EO27",1,30,"EO61",1,57821.3,FALSE
16,"EO24",1,20,"EO70",1,57974.1,FALSE
4,"EO118",1,10,"EO27",1,58041.6,FALSE
14,"EO25",1,20,"EO70",1,58177.1,FALSE
15,"EO25",1,20,"EO70",1,58319.8,FALSE
5,"EO68",1,18,"EO24",1,58607.5,FALSE
5,"EO68",1,17,"EO24",1,58635.8,FALSE
3,"EO52",1,12,"EO30",1,58782.4,FALSE
5,"EO68",1,6,"EO32",1,58878,FALSE
5,"EO68",1,14,"EO25",1,59006,FALSE
5,"EO68",1,16,"EO24",1,59144,FALSE
5,"EO68",1,15,"EO25",1,59198.2,FALSE
7,"EO48",1,20,"EO70",1,59351.4,FALSE
4,"EO118",1,9,"EO27",1,59920.5,FALSE
13,"EO18",5,20,"EO70",1,59921.6,FALSE
12,"EO30",1,27,"EO26",1,59977.5,FALSE
10,"EO27",1,30,"EO61",1,60277.4,FALSE
5,"EO68",1,13,"EO18",5,60750.2,FALSE
5,"EO68",1,7,"EO48",1,61058,FALSE
2,"EO76",1,12,"EO30",1,61409.5,FALSE
4,"EO118",1,29,"EO27",1,62137.4,FALSE
