"locationID_A","EOCode_A","group_A","locationID_B","EOCode_B","group_B","distance_m","connected_500m","same_EO","same_group","link_type"
28,"EO08",22,30,"EO26",24,4237.8,FALSE,FALSE,FALSE,"not connected"
34,"EO26",26,35,"EO26",27,4372.2,FALSE,TRUE,FALSE,"not connected"
9,"EO27",9,12,"EO27",11,4416,FALSE,TRUE,FALSE,"not connected"
29,"EO08",23,31,"EO26",25,4459,FALSE,FALSE,FALSE,"not connected"
35,"EO26",27,36,"EO26",28,4624.4,FALSE,TRUE,FALSE,"not connected"
21,"EO25",15,24,"EO24",18,4834.3,FALSE,FALSE,FALSE,"not connected"
21,"EO25",15,25,"EO24",19,5039.1,FALSE,FALSE,FALSE,"not connected"
29,"EO08",23,30,"EO26",24,5195.6,FALSE,FALSE,FALSE,"not connected"
21,"EO25",15,23,"EO24",17,5458.5,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,37,"EO27",29,5481.4,FALSE,TRUE,FALSE,"not connected"
20,"EO25",14,24,"EO24",18,5679.8,FALSE,FALSE,FALSE,"not connected"
20,"EO25",14,25,"EO24",19,5837,FALSE,FALSE,FALSE,"not connected"
21,"EO25",15,22,"EO24",16,5907.5,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,24,"EO24",18,6201.8,FALSE,FALSE,FALSE,"not connected"
27,"EO08",21,35,"EO26",27,6259.5,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,3,"EO52",3,6275.9,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,24,"EO24",18,6277.8,FALSE,FALSE,FALSE,"not connected"
20,"EO25",14,23,"EO24",17,6306.4,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,3,"EO52",3,6367.9,FALSE,FALSE,FALSE,"not connected"
28,"EO08",22,35,"EO26",27,6415,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,11,"EO27",11,6428.4,FALSE,TRUE,FALSE,"not connected"
16,"EO18",13,24,"EO24",18,6503.2,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,25,"EO24",19,6629.6,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,24,"EO24",18,6634.4,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,25,"EO24",19,6644.9,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,39,"EO67",31,6704,FALSE,FALSE,FALSE,"not connected"
20,"EO25",14,22,"EO24",16,6770.5,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,23,"EO24",17,6781.8,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,24,"EO24",18,6809.2,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,23,"EO24",17,6871.7,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,12,"EO27",11,6882.4,FALSE,TRUE,FALSE,"not connected"
2,"EO76",2,4,"EO118",4,7003.5,FALSE,FALSE,FALSE,"not connected"
16,"EO18",13,25,"EO24",19,7006.2,FALSE,FALSE,FALSE,"not connected"
16,"EO18",13,23,"EO24",17,7056,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,22,"EO24",16,7078.8,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,25,"EO24",19,7081.2,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,25,"EO24",19,7147.9,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,22,"EO24",16,7199.2,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,23,"EO24",17,7206.6,FALSE,FALSE,FALSE,"not connected"
16,"EO18",13,22,"EO24",16,7292.5,FALSE,FALSE,FALSE,"not connected"
29,"EO08",23,35,"EO26",27,7404.3,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,23,"EO24",17,7410.6,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,39,"EO67",31,7418.5,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,22,"EO24",16,7483.6,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,22,"EO24",16,7761.2,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,37,"EO27",29,7862.8,FALSE,TRUE,FALSE,"not connected"
11,"EO27",11,39,"EO67",31,9117,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,39,"EO67",31,9247.3,FALSE,FALSE,FALSE,"not connected"
37,"EO27",29,39,"EO67",31,9268.5,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,40,"EO72",32,10512.3,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,4,"EO118",4,10553.8,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,2,"EO76",2,10647.7,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,40,"EO72",32,10654.7,FALSE,FALSE,FALSE,"not connected"
37,"EO27",29,40,"EO72",32,10665.9,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,40,"EO72",32,11125.7,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,40,"EO72",32,11170.5,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,22,"EO24",16,11870.4,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,23,"EO24",17,12364.4,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,38,"EO61",30,12581.7,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,22,"EO24",16,12719.9,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,24,"EO24",18,12992.3,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,25,"EO24",19,13049.3,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,23,"EO24",17,13115,FALSE,FALSE,FALSE,"not connected"
27,"EO08",21,38,"EO61",30,13151.8,FALSE,FALSE,FALSE,"not connected"
28,"EO08",22,38,"EO61",30,13286.8,FALSE,FALSE,FALSE,"not connected"
29,"EO08",23,38,"EO61",30,13452.5,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,25,"EO24",19,13628.9,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,24,"EO24",18,13737.3,FALSE,FALSE,FALSE,"not connected"
13,"EO30",12,37,"EO27",29,14445,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,40,"EO72",32,15249.3,FALSE,FALSE,FALSE,"not connected"
34,"EO26",26,38,"EO61",30,15311.4,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,13,"EO30",12,15562.4,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,39,"EO67",31,15630.5,FALSE,FALSE,FALSE,"not connected"
36,"EO26",28,38,"EO61",30,15694.4,FALSE,FALSE,FALSE,"not connected"
33,"EO26",26,38,"EO61",30,15794,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,13,"EO30",12,16244.2,FALSE,FALSE,FALSE,"not connected"
32,"EO26",25,38,"EO61",30,16285.4,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,40,"EO72",32,16402.3,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,4,"EO118",4,16564.4,FALSE,FALSE,FALSE,"not connected"
31,"EO26",25,38,"EO61",30,16822.3,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,39,"EO67",31,17253.4,FALSE,FALSE,FALSE,"not connected"
30,"EO26",24,38,"EO61",30,17574.3,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,21,"EO25",15,17776.4,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,21,"EO25",15,18571.3,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,20,"EO25",14,18640.8,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,15,"EO18",13,18754.7,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,16,"EO18",13,18815.8,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,19,"EO18",13,18931.8,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,17,"EO18",13,19103.4,FALSE,FALSE,FALSE,"not connected"
13,"EO30",12,40,"EO72",32,19404.5,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,20,"EO25",14,19410.8,FALSE,FALSE,FALSE,"not connected"
35,"EO26",27,38,"EO61",30,19523.3,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,18,"EO18",13,19525.3,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,29,"EO08",23,19684.9,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,15,"EO18",13,19775.1,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,19,"EO18",13,19912.4,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,16,"EO18",13,19921.5,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,17,"EO18",13,20159.7,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,13,"EO30",12,20229,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,18,"EO18",13,20480.2,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,10,"EO27",10,20568.6,FALSE,FALSE,FALSE,"not connected"
22,"EO24",16,39,"EO67",31,20581.2,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,28,"EO08",22,20715.9,FALSE,FALSE,FALSE,"not connected"
13,"EO30",12,39,"EO67",31,20987.1,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,27,"EO08",21,21017.2,FALSE,FALSE,FALSE,"not connected"
23,"EO24",17,39,"EO67",31,21260.8,FALSE,FALSE,FALSE,"not connected"
24,"EO24",18,39,"EO67",31,21675.5,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,6,"EO32",6,22077,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,22,"EO24",16,22142.6,FALSE,FALSE,FALSE,"not connected"
25,"EO24",19,39,"EO67",31,22346.4,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,9,"EO27",9,22408.4,FALSE,FALSE,FALSE,"not connected"
22,"EO24",16,40,"EO72",32,22449.7,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,13,"EO30",12,22461.1,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,10,"EO27",10,22533.3,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,36,"EO26",28,22678.1,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,23,"EO24",17,22775.8,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,34,"EO26",26,22807.6,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,24,"EO24",18,23033.9,FALSE,FALSE,FALSE,"not connected"
23,"EO24",17,40,"EO72",32,23128.3,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,33,"EO26",26,23238.3,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,16,"EO18",13,23325.2,FALSE,FALSE,FALSE,"not connected"
24,"EO24",18,40,"EO72",32,23613.9,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,25,"EO24",19,23849.7,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,32,"EO26",25,23852.2,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,17,"EO18",13,23864.5,FALSE,FALSE,FALSE,"not connected"
16,"EO18",13,39,"EO67",31,23910.4,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,15,"EO18",13,23919.9,FALSE,FALSE,FALSE,"not connected"
